Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
金禧大廈,駱克道389-399號,單幢物業,54,102,2,-
長康大廈,莊士敦道25-33號,單幢物業,53,104,2,-
海殿大廈,告士打道276-279號,單幢物業,55,126,2,-
保和大廈,灣仔道177-179號,單幢物業,46,149,2,-
莊士頓大樓,莊士敦道28-34號,單幢物業,46,157,2,-
加路連大樓,加路連山道3-15號,單幢物業,59,146,2,-
金碧大廈,駱克道339-347號,單幢物業,45,117,2,$13291
愉景樓,禮頓道1-7號,單幢物業,47,160,2,-
鳳鳴大廈,利園山道54-70號,單幢物業,59,161,2,$13920
建利大樓,謝斐道130-146號,屋苑,39,159,1,-
軒尼詩大廈,波斯富街48-52號,單幢物業,58,187,1,-
寶富大樓,富明街1-5號,單幢物業,54,161,1,$14655
怡安大廈,東角道26號,單幢物業,46,204,1,-
鴻業大廈,灣仔道234-236號,單幢物業,52,197,1,-
希雲大廈,禮頓道128-138號,單幢物業,59,120,1,-
禮雲大樓,希雲街23-33號,單幢物業,59,146,1,-
禮希大樓,希雲街7-19號,單幢物業,59,144,1,-
麗園大廈,羅素街59-61號,單幢物業,54,116,1,$15122
國泰新宇,灣仔道125號,單幢物業,17,92,1,-
寶華大廈,皇后大道東46-56號,單幢物業,59,99,1,$14587
明豐大廈,灣仔道128-150號,單幢物業,49,100,1,-
興邦大廈,駱克道117號,單幢物業,33,92,1,-
永星苑,星街7-7L號,屋苑,29,108,1,-
海華苑,秀華坊15號,屋苑,24~29,237,1,-
華登大廈,百德新街27號,屋苑,58,221,1,-
海源中心,太原街8號,單幢物業,22,88,1,$19451
祥樂大樓,灣仔道222-228C號,單幢物業,54,81,1,-
東南大廈,軒尼詩道475-481號,單幢物業,53,80,1,-
香港大廈,怡和街1-1L號,單幢物業,52,284,1,-
華都樓,活道42號,單幢物業,49,241,1,-
昌業大廈,軒尼詩道344-354A號,單幢物業,52,251,1,-
萬豪閣,聖佛蘭士街33號,單幢物業,28,186,1,-
海宮大廈,告士打道264-269號,單幢物業,52,168,1,-
星輝苑,電氣街2-14號,單幢物業,38,167,1,-
寶明大廈,富明街2-6號,單幢物業,54,172,1,$13324
維新大廈,謝斐道392-402號,單幢物業,40,134,1,-
恆安大廈,天樂里6-18號,單幢物業,42,72,1,$12474
東曦大廈,皇后大道東12-20號,單幢物業,41,72,1,-
其發大廈,石水渠街1-13號,單幢物業,32,72,1,$15175
保如大廈,謝斐道340-348號,單幢物業,52,72,1,$12425
安東大廈,大王東街6-16號,單幢物業,44,74,1,-
香島大廈,軒尼詩道439-445號,單幢物業,54,74,1,-
新禧大樓,軒尼詩道68-76號,單幢物業,53,74,1,-
東寧大廈,京士頓街11號,單幢物業,55,55,1,-
聯發大廈,莊士敦道36-42號,單幢物業,37,63,1,-
東興大廈,莊士敦道129-135號,單幢物業,54,64,1,-
四海大廈,駱克道254-260號,單幢物業,55,64,1,-
協生大廈,軒尼詩道107-115號,單幢物業,49,64,1,-
麗麗大廈,駱克道102-108號,單幢物業,52,96,1,$10633
安興大廈,皇后大道東156-164號,單幢物業,52,94,1,-
采怡閣,渣甸坊48號,單幢物業,16,88,1,$19642
修頓大廈,盧押道1-3號,單幢物業,53,93,1,$13812
特麗樓,謝斐道379-389號,單幢物業,30,84,1,-
鑽石大樓,駱克道462-468號,單幢物業,53,54,1,-
勝華樓,軒尼詩道451-457號,單幢物業,54,52,1,-
積福大廈,謝斐道415-421號,單幢物業,42,68,1,-
展鴻大廈,克街1-15號,單幢物業,43,68,1,-
美蘭閣,信德街1-7號,單幢物業,42,68,1,-
玉滿樓,軒尼詩道210-214號,單幢物業,50,65,1,-
華爾大廈,百德新街51號,單幢物業,60,66,1,-
仁美大廈,汕頭街11-21號,單幢物業,39,60,1,-
泰華大廈,駱克道262-268號,單幢物業,51,60,1,$12980
四寶大廈,軒尼詩道59-65號,單幢物業,52,56,1,-
波斯富大廈,波斯富街77-83號,單幢物業,59,59,-,-
福基大廈,駱克道375-379號,單幢物業,52,57,-,-
昭憲大廈,莊士敦道94-102號,單幢物業,41,57,-,-
友誼大廈,軒尼詩道345-351號,單幢物業,52,56,-,-
軒尼詩大樓,軒尼詩道117-123號,單幢物業,48,56,-,-
維德大廈,京士頓街15號,單幢物業,54,56,-,-
金聲大廈,謝斐道151-161號,單幢物業,41,65,-,-
華英大廈,信德街14-20號,單幢物業,38,60,-,-
仁文大廈,謝斐道98-108號,單幢物業,34,68,-,-
德華大廈,軒尼詩道290-296號,單幢物業,54,68,-,-
軒尼詩道大樓,軒尼詩道213-219號,單幢物業,50,68,-,-
金勝大廈,石水渠街14-24號,單幢物業,31,68,-,-
嘉賓大廈,京士頓街9號,單幢物業,55,52,-,-
譚臣大廈,譚臣道93-103號,單幢物業,51,68,-,-
HAPPY MANSION,利園山道13-19號,單幢物業,55,83,-,-
金龍大廈,登龍街41-51號,單幢物業,39,83,-,-
寶榮大樓,波斯富街108-120號,單幢物業,51,86,-,-
金利大廈,摩理臣山道20-30號,單幢物業,45,69,-,-
鴻福大廈,駱克道356-362號,單幢物業,54,70,-,-
崇蘭大廈,禮頓道37號,單幢物業,53,64,-,-
波斯富街54-60號,波斯富街54-60號,單幢物業,55,61,-,-
京都大樓,駱克道94-100號,單幢物業,49,64,-,-
新安大廈,景隆街20-28號,單幢物業,54,63,-,-
雲豐大廈,駱克道245-251號,單幢物業,51,60,-,-
軒寧大廈,軒尼詩道385-391號,單幢物業,47,60,-,-
富苑,灣仔道39-49號,單幢物業,37,74,-,-
帝城大廈,謝斐道313-323號,單幢物業,38,76,-,-
兆威閣,交加街18號,單幢物業,28,75,-,-
聯利大廈,聯發街8號,單幢物業,38,72,-,-
壹環,灣仔道1號,單幢物業,6,238,-,-
新城大廈,謝斐道483-499號,單幢物業,54,80,-,-
東亞大樓,軒尼詩道23-29號,單幢物業,52,80,-,-
中南樓,莊士敦道148-158號,單幢物業,51,81,-,-
富利大廈,灣仔道62-76號,單幢物業,37,90,-,-
登龍閣,邊寧頓街9-11號,單幢物業,32,88,-,-
基利大廈,機利臣街6-14號,單幢物業,39,92,-,-
太源閣,太原街38號,單幢物業,25,100,-,-
壹嘉,灣仔道109號,單幢物業,0,100,-,-
華發大廈,駱克道405-419號,單幢物業,31,100,-,-
英利大廈,軒尼詩道323-331號,單幢物業,51,97,-,-
泰港大廈,軒尼詩道482號,單幢物業,52,103,-,-
yoo Residence,銅鑼灣道33號,單幢物業,3,149,-,-
海都大廈,告士打道271-275號,單幢物業,54,144,-,-
京城大廈,駱克道175-191號,單幢物業,41,119,-,-
灣景樓,摩頓臺13-33號,屋苑,52,334,-,-
曉峰閣,舊山頂道18號,屋苑,25,528,9,$24967
會展中心會景閣,港灣道1號,單幢物業,29,622,8,-
愛都大廈,花園道55號,屋苑,35,239,6,$25637
地利根德閣,地利根德里14號,屋苑,25~37,317,6,$24619
皇朝閣,堅尼地道9M號,單幢物業,23,186,4,-
鳳凰閣,堅尼地道39號,屋苑,41,319,4,$17993
滿峰台,堅尼地道48號,單幢物業,49,120,3,-
雨時大廈,麥當勞道20號,單幢物業,25,162,2,-
富匯豪庭,寶雲道2號,屋苑,17,110,2,-
珀苑,堅尼地道70-72號,屋苑,37,106,2,$24167
嘉慧園,馬己仙峽道3號,屋苑,46~47,120,2,$47584
星域軒,星街9號,屋苑,19,329,2,-
世紀大廈,地利根德里1A號,屋苑,26~47,82,2,$43207
騰皇居 II,地利根德里10A號,單幢物業,19,98,1,-
御花園,堅尼地道9A號,屋苑,33,131,1,$32819
慧景臺,堅尼地道128-130號,屋苑,40,240,1,-
帝景園,舊山頂道17-23號,屋苑,27,410,1,$33223
蔚皇居,梅道11號,單幢物業,20,82,1,-
寶樺臺,麥當勞道96號,單幢物業,29,114,1,-
金鑾閣,堅尼地道66號,單幢物業,39,60,1,-
威豪閣,麥當勞道35號,單幢物業,31,106,1,-
帝景閣,堅尼地道3號,單幢物業,29,93,1,$31527
THE MAYFAIR,梅道1號,單幢物業,21,60,-,-
港景別墅,馬己仙峽道11號,單幢物業,23,51,-,-
蔚山花園,麥當勞道48號,單幢物業,32,62,-,-
寶園,蒲魯賢徑9號,單幢物業,28,74,-,-
寶德臺,寶雲道8-9號,單幢物業,52,81,-,-
花園台,舊山頂道8A號,屋苑,35,222,-,-
嘉富麗苑,梅道12號,屋苑,24,240,-,-
好景大廈,麥當勞道66-68號,屋苑,59~62,52,-,-
龍景樓,麥當勞道39號,屋苑,54,64,-,-
光明臺,大坑道5-7號,屋苑,25,704,13,$17517
尚巒,華倫街23號,單幢物業,6,163,6,$22642
名門,大坑徑23號,屋苑,12,388,6,$23973
上林,大坑道11號,屋苑,9,270,5,$32479
龍華花園,大坑徑25號,屋苑,32,396,5,$17930
禮頓山,樂活道2B號,屋苑,16,553,5,-
聚文樓,山村道76號,單幢物業,43,115,4,-
景祥大樓,景光街1-9號,單幢物業,52,137,4,$13002
力生軒,加路連山道109號,單幢物業,20,81,4,$20311
誠和閣,桂成里18號,屋苑,29,221,4,$17969
大坑台,春暉道5號,屋苑,43,240,4,-
樂翠台,樂活道10號,屋苑,30,248,4,$23976
樂陶苑,樂活道18號,屋苑,31,351,4,-
比華利山,樂活道6號,屋苑,30,698,4,-
山光苑,山光道22-24號,屋苑,42~45,180,4,-
蔚豪苑,黃泥涌峽道8A-8B號,屋苑,28,99,3,-
嘉雲臺,白建時道33號,屋苑,30~32,444,3,-
山村閣,山村臺19-25號,屋苑,33,32,3,-
蔚雲閣,鳳輝臺12號,單幢物業,26,204,3,-
名仕花園,聚文街3號,單幢物業,27,150,3,-
山村大廈,山村道7號,單幢物業,46,104,3,-
慧景園,春暉道7號,屋苑,31,240,3,$22552
嘉樂居,山村道33號,單幢物業,28,75,3,$18310
友誼大廈,藍塘道12-22號,單幢物業,43,84,3,$15939
月華大廈,禮頓道28-30號,單幢物業,55,53,2,$13068
Y.I,大坑道10號,單幢物業,0,70,2,-
永富苑,山光道34-40號,單幢物業,52,74,2,$18546
松柏新?,司徒拔道43號,屋苑,46~48,218,2,-
玫瑰新?,司徒拔道41A號,屋苑,52~53,240,2,-
藍塘別墅,成和道74-80號,屋苑,58,40,2,-
大坑道1號,大坑道1號,單幢物業,28,104,2,-
禮賢大廈,禮頓道58-64A號,屋苑,57~62,90,2,-
匯翠台,連道5-7號,屋苑,25~26,96,2,-
雲地利台,雲地利道19-23號,屋苑,33,186,1,-
金山花園,雲地利道35號,屋苑,35,160,1,-
嘉苑,肇輝臺14-17號,屋苑,38~44,315,1,-
逸盧,黃泥涌道119-121號,屋苑,55,48,1,$19898
愉寶大廈,山光道3號,單幢物業,39,145,1,-
華翠臺,連道3號,單幢物業,29,104,1,-
旭逸閣,黃泥涌道7-9號,單幢物業,36,92,1,-
雲暉大廈,雲地利道1-5號,屋苑,34,144,1,$28288
碧蕙園,司徒拔道41號,屋苑,54,71,1,-
愉富大廈,春暉道8-10號,屋苑,35,114,1,-
嘉逸軒,成和道69號,單幢物業,17,80,1,-
高景大廈,大坑徑7號,單幢物業,51,80,1,-
蟾宮大廈,希慎道2-4號,單幢物業,60,80,1,-
雅谷大廈,黃泥涌道79A號,單幢物業,43,63,1,-
金光大廈,景光街36-44號,單幢物業,41,88,1,-
帝后臺,大坑道26號,單幢物業,19,54,1,-
雅詩大廈,黃泥涌道43號,單幢物業,39,68,1,-
春暉8號,春暉臺8號,單幢物業,7,66,1,$38586
威利閣,聚文街12號,單幢物業,26,56,1,-
寶德大廈,宏德街3A-3E號,單幢物業,55,59,1,-
南榮大廈,成和道49-51A號,單幢物業,48,56,-,-
嘉景臺,大坑徑19號,單幢物業,27,68,-,-
帝華閣,聚文街8號,單幢物業,29,52,-,-
壹鑾,聯興街1號,單幢物業,2,84,-,-
樂天峰,樂活道12號,單幢物業,8,76,-,-
滿輝大廈,肇輝臺11號,單幢物業,44,96,-,-
駿愉居,山村道49號,單幢物業,16,64,-,-
毓秀大廈,毓秀街18-20號,單幢物業,43,73,-,-
鵬麗閣,山村道5號,單幢物業,26,72,-,-
樂活臺,樂活道4號,單幢物業,25,112,-,-
紀雲峰,山光道20號,單幢物業,7,129,-,-
曉廬,司徒拔道41D,單幢物業,15,115,-,-
衛信道2-6A號,衛信道2-6A號,屋苑,55,18,-,-
衛信道1-11號,衛信道1-11號,屋苑,57,18,-,-
高寧大廈,大坑徑5號,單幢物業,51,80,-,-
柏園,大坑徑6號,單幢物業,46,88,-,-
渣甸山花園大廈,大坑道148-150號,屋苑,57,59,-,-
柏麗園,布思道1-5號,屋苑,44,118,-,-
永安閣,布思道7-9號,屋苑,44,68,-,-
怡豐大廈,山村道1-1F號,單幢物業,46,99,-,-
瑆華,華倫街9號,單幢物業,4,103,-,-
永威閣,大坑道3號,單幢物業,36,124,-,-
雋琚,重士街8號,單幢物業,2,119,-,-
大坑道339號,大坑道339號,屋苑,5,9,-,-
蟠龍苑,蟠龍道1號,屋苑,24,37,-,-
文華新?,肇輝臺10號,屋苑,45,96,-,-
美麗村,肇輝臺2B號,屋苑,49,95,-,-
豪園,嘉寧徑,屋苑,47~53,285,-,-
賽西湖大廈,寶馬山道15-43號,屋苑,40,925,9,-
富豪閣,雲景道56號,屋苑,39,320,6,-
寶馬山花園,寶馬山道1號,屋苑,27,809,6,$20234
金龍大廈,金龍臺6號,屋苑,38,360,4,$17853
峰景大廈,雲景道60號,單幢物業,53,200,4,-
威景臺,天后廟道70號,屋苑,42,320,4,$19286
寶馬臺,卑利瑪臺1號,屋苑,44,265,3,-
雲景台,雲景道38號,屋苑,43,280,3,$18075
海景台,雲景道31號,單幢物業,41,112,3,$19425
富麗園,雲景道50號,屋苑,39,240,2,-
萬德閣,雲景道46號,屋苑,38,199,2,-
珊瑚閣,天后廟道116-126號,屋苑,45~46,300,2,$18670
雲峰大廈,天后廟道144-158號,屋苑,52,160,2,-
雅景臺,雲景道40號,單幢物業,44,120,1,$19130
天寶大廈,寶馬山道4號,屋苑,47,120,1,-
柏傲山,天后廟道18A號,屋苑,3,368,1,-
傲龍軒,天后廟道18號,單幢物業,18,96,-,-
豐林閣,寶馬山道24-26號,屋苑,42,76,-,-
海天峰,雲景道35號,屋苑,16,110,-,-
豪景,寶馬山道2號,單幢物業,47,100,-,-
摩天大廈,天后廟道132-142號,單幢物業,54,120,-,-
康樂大廈,馬寶道77-87號,單幢物業,54,81,37,$15893
城市花園,電氣道233號,屋苑,32~36,2406,26,$15821
百福花園,天后廟道151-173號,屋苑,37,1421,17,$13698
柏雅台,柏架山道2-8號,屋苑,45,20,15,-
富澤花園,炮台山道32號,屋苑,30~37,1263,14,$15844
明園,孔雀道1-72號,屋苑,31~48,691,12,-
富雅花園,繼園臺1-10號,屋苑,33~34,866,12,$14528
健威花園,英皇道560號,屋苑,39,1104,10,$14832
嘉威大廈,渣華道146-166號,屋苑,34,300,9,$18243
康澤花園,英皇道238號,屋苑,31,757,9,$15401
港運城,丹拿道51-61號,屋苑,22,784,9,$17652
錦屏樓,錦屏街63-69號,屋苑,52,386,9,$9777
僑冠大廈,英皇道395號,屋苑,52,624,9,$10227
南方大廈,英皇道257-273號,單幢物業,55,304,8,$10754
丹拿花園,丹拿道18號,屋苑,27,853,8,-
和富中心,和富道21-53號,屋苑,34~36,1450,7,-
柏景臺,英皇道1號,屋苑,29,492,7,$30048
嘉運大廈,月園街10-16號,單幢物業,33,92,7,$20784
玻璃街16號,景明道1-5G號,屋苑,45,378,7,-
建業大廈,渣華道24號,單幢物業,32,138,7,$17957
新都城大廈,英皇道416-438號,單幢物業,46,1037,6,$10631
健康村,英皇道668號,屋苑,21~25,1048,6,$12539
東發大廈,錦屏街21-61號,屋苑,54,492,5,$9373
皇都戲院,英皇道277-291號,單幢物業,59,221,5,$17500
康威大廈,英皇道406-408號,單幢物業,33,186,5,$13559
華禮大廈,馬寶道62-76號,單幢物業,37,210,5,$15123
龍濤苑,浣紗街21-25號,屋苑,29,392,5,$19138
港濤軒,渣華道180號,單幢物業,10,184,5,$24481
英皇中心,英皇道193-241號,單幢物業,40,168,4,$15891
形品,明園西街38號,單幢物業,7,168,4,-
友福園,丹拿道44-58號,單幢物業,41,182,4,-
五洲大廈,英皇道290-304號,單幢物業,56,287,4,-
維景花園,興發街40-42號,屋苑,41,400,4,$17537
豪廷峰,炮台山道28號,屋苑,18,394,4,$25032
鴻福大樓,錦屏街40-78號,屋苑,56,250,4,-
光超台,炮台山道4-6號,屋苑,40,258,4,$12727
樂嘉中心,書局街18號,屋苑,31,214,4,-
雍藝軒,浣紗街55號,單幢物業,19,100,4,-
慧雲峰,英皇道632號,單幢物業,13,192,4,$19568
僑輝大廈,英皇道413-423號,單幢物業,45,194,4,-
海峰園,福蔭道1-5號,屋苑,30,924,4,-
華凱大廈,電氣道242-290號,屋苑,43,176,4,-
明暉大廈,和富道20-36號,屋苑,35,184,3,-
國賓大廈,書局街28號,單幢物業,33,146,3,-
和富豪庭,北角道33號,單幢物業,16,104,3,-
華曦大廈,堡壘街10-16號,單幢物業,36,98,3,-
丹桂閣,丹拿道60號,單幢物業,42,91,3,$12970
百福大廈,錦屏街80-118號,屋苑,56,257,3,-
富利來大廈,京華道9-27號,屋苑,36,238,3,$16933
怡家洋樓,堡壘街41-43號,單幢物業,35,88,3,-
僑興大廈,英皇道14號,單幢物業,52,362,3,-
宜安大廈,春秧街55-71號,單幢物業,54,179,3,$9019
浣紗花園,浣紗街33-45號,單幢物業,38,134,3,-
嘉安苑,長康街12號,單幢物業,36,112,3,$17385
華健大廈,北景街9-11號,單幢物業,35,112,3,-
福興樓,浣紗街63號,單幢物業,29,72,3,$17375
浣紗閣,浣紗街1-5號,單幢物業,26,63,3,-
華誠洋樓,春秧街70-74號,單幢物業,38,69,3,-
海港閣,繼園臺17-18號,單幢物業,42,69,3,$12484
海景軒,銀幕街1號,單幢物業,16,94,3,$21637
利園大廈,歌頓道6-14A號,單幢物業,53,84,3,$10769
珠璣大廈,英皇道433-437號,單幢物業,44,52,3,-
兆年大廈,七姊妹道30-36號,單幢物業,32,65,2,-
俊文樓,建華街14-16號,單幢物業,39,66,2,-
璇宮大廈,英皇道293-299號,單幢物業,61,68,2,-
莊士維港軒,和富道18號,單幢物業,15,83,2,$18817
鴻安大廈,天后廟道3號,單幢物業,47,78,2,-
百利大廈,英皇道6-8號,單幢物業,57,83,2,-
嘉蘭大廈,七姊妹道25-31號,單幢物業,41,88,2,-
漢宮大廈,英皇道441-447號,單幢物業,50,94,2,-
怡新洋樓,堡壘街42-46A號,單幢物業,37,96,2,-
寶榮大廈,蜆殼街6-16號,單幢物業,32,108,2,-
蓮花園,蓮花街2-8號,單幢物業,25,96,2,$17703
永興新樓,永興街25-31A號,單幢物業,52,69,2,-
曉峰,明園西街28號,單幢物業,7,74,2,$16319
昌盛洋樓,永興街33-39號,單幢物業,39,114,2,-
利都樓,英皇道177-191A號,單幢物業,52,235,2,-
美輪大廈,書局街1-25號,單幢物業,59,260,2,$9753
兆寶大廈 (兆寶樓),七姊妹道126-128號,單幢物業,33,80,2,$16446
中南大廈,英皇道163-163B號,單幢物業,53,81,2,-
啟禮閣,英皇道67-71號,單幢物業,25,88,2,$16461
富邦大廈,七姊妹道106-110號,單幢物業,33,88,2,$15289
寶馬花園,馬寶道33號,屋苑,25,114,2,-
華康大廈,堡壘街6-8號,單幢物業,35,92,2,$15657
港逸軒,春秧街128號,單幢物業,15,92,2,$15201
豐昌大廈,和富道38-48號,單幢物業,39,92,2,-
南天大廈,英皇道275號,單幢物業,55,99,2,$9749
港輝豪庭,渣華道28號,單幢物業,17,116,2,-
宏輝大廈,宏安道2-12號,單幢物業,35,150,2,-
寶豐大廈,堡壘街55號,單幢物業,27,150,2,$13793
公主大廈,英皇道165-175號,單幢物業,52,155,2,-
兆華大廈,七姊妹道116-122號,單幢物業,33,158,2,-
東寶大廈,英皇道483-497號,單幢物業,32,160,2,-
維多利中心,屈臣道15號,屋苑,37,456,2,-
凱旋大廈,電氣道13-41號,屋苑,59,83,2,-
縉景臺,木星街18號,屋苑,16,188,2,-
北角中心大廈,英皇道278-288號,屋苑,44,264,2,$13711
幸福大樓,錦屏街24-38號,屋苑,57,195,2,-
康福園,英皇道60號,屋苑,44,179,1,$10656
昌明洋樓,七姊妹道15-23A號,屋苑,44,186,1,$14334
怡景大廈,英皇道630號,屋苑,57,90,1,-
恆英大廈,英皇道318-328號,單幢物業,45,160,1,-
美城花園大廈,興發街62-74號,單幢物業,45,197,1,-
DIVA,電器道133-139號,單幢物業,3,119,1,$21618
維峰,歌頓道3號,單幢物業,3,119,1,-
永寶大廈,堡壘街33號,單幢物業,29,104,1,-
北角大廈,英皇道692-702號,單幢物業,59,104,1,$9797
寶翠洋樓,堡壘街28-34號,單幢物業,43,100,1,$12889
耀星華庭,水星街28號,單幢物業,17,100,1,$18283
偉文大廈,堡壘街11-17號,單幢物業,38,100,1,-
益新洋樓,英皇道355-361號,單幢物業,41,91,1,-
康德大廈,天后廟道95-97號,單幢物業,57,92,1,-
怡寶洋樓,堡壘街57-59號,單幢物業,35,92,1,-
發昌樓,電氣道63-81號,屋苑,54,119,1,-
嘉信大廈,電氣道170-174號,屋苑,39,359,1,-
楓林花園,建華街33-51號,屋苑,26~30,229,1,-
昌輝閣,七姊妹道5-13號,單幢物業,44,83,1,-
乘龍閣,金龍臺13號,單幢物業,32,90,1,-
耀明大廈,渣華道42-48號,單幢物業,36,80,1,-
民眾大廈,英皇道135-145號,單幢物業,51,133,1,$11650
麗宮大廈,英皇道301-319號,單幢物業,60,139,1,-
佳景大廈,威非路道23-35號,單幢物業,41,138,1,-
皇冠大廈,英皇道321-333號,單幢物業,60,140,1,$9814
馬寶閣,馬寶道15號,單幢物業,29,63,1,-
高發大廈,渣華道62-68號,單幢物業,41,63,1,-
金樂居,蓮花宮西街16號,單幢物業,20,69,1,-
嘉洋大廈,和富道2-8號,單幢物業,32,69,1,-
明月大廈,月園街7-15號,單幢物業,34,96,1,-
海興大廈,水星街5-7號,單幢物業,30,96,1,-
威明閣,建華街25號,單幢物業,42,94,1,-
福英大廈,英皇道379-381號,單幢物業,37,86,1,-
天順樓,七姊妹道100-104號,單幢物業,36,88,1,-
新達大廈,英皇道347號,單幢物業,29,88,1,-
豐華大廈,長康街21-23B號,單幢物業,60,84,1,-
景愉居,天后廟道43-45號,單幢物業,16,54,1,-
康麗苑,英皇道56號,單幢物業,34,52,1,-
明軒,明園西街16-22號,單幢物業,18,52,1,-
嘉文樓,建華街1-7號,單幢物業,37,67,1,-
橋裕大廈,和富道96-112號,單幢物業,30,60,1,-
海城洋樓,電氣道141-155號,單幢物業,47,76,-,-
景興閣,堡壘街48-52號,單幢物業,25,78,-,-
泰華大廈,電氣道130-140號,單幢物業,54,85,-,-
美麗閣,英皇道376-380號,單幢物業,42,86,-,-
嘉興大廈,渣華道41-47號,單幢物業,34,96,-,-
怡昇洋樓,堡壘街54-60號,單幢物業,38,96,-,-
海新大廈,水星街12-18號,單幢物業,28,96,-,-
安寧大廈,英皇道425-431號,單幢物業,50,97,-,-
和富大樓,和富道128-132號,單幢物業,56,109,-,-
富景閣,清華街18-24號,單幢物業,33,110,-,-
富家閣,七姊妹道28號,單幢物業,25,108,-,-
永光閣,渣華道3-5號,單幢物業,24,69,-,-
青雲大廈,英皇道334-336號,單幢物業,52,74,-,-
維多利大廈,興發街50-56號,單幢物業,54,74,-,-
渣華道98號,渣華道98號,單幢物業,7,75,-,-
歌頓大廈,興發街82-86號,單幢物業,60,75,-,-
金豐大廈,渣華道23-27號,單幢物業,32,75,-,-
嘉樂園,堡壘街45-47號,單幢物業,40,72,-,-
明苑中心,明園西街6號,單幢物業,30,130,-,-
尚譽,月園街1號,單幢物業,0,128,-,-
威德閣,宏安道14-28號,單幢物業,25,136,-,-
亞洲大廈,英皇道390-394號,單幢物業,52,176,-,-
興漢大廈,英皇道26-36號,單幢物業,32,227,-,-
仁德大廈,春秧街93-113號,單幢物業,54,261,-,-
仁寶閣,和富道74-82號,單幢物業,35,80,-,-
華園,天后廟道37-39A號,單幢物業,49,80,-,-
木蘭苑,電氣道160號,單幢物業,26,88,-,-
維港頌,城市花園道32號,屋苑,0,378,-,-
聯和大廈,電氣道296-306號,屋苑,56,114,-,-
慧雅閣,天后廟道200號,屋苑,35,110,-,-
銀輝大廈,和富道84-94號,單幢物業,39,92,-,-
榮發大廈,春秧街114-120號,單幢物業,39,92,-,-
建華花園,建華街2-8號,單幢物業,24,100,-,-
建康花園,英皇道62-68號,單幢物業,25,104,-,-
益漢洋樓,渣華道72-78號,單幢物業,43,126,-,-
雲華大廈,英皇道310號,單幢物業,52,126,-,-
麗都大廈,英皇道860-878號,單幢物業,60,147,-,-
莊苑,銅鑼灣道162號,單幢物業,26,120,-,-
月明樓,英皇道125-133號,單幢物業,52,199,-,-
宇宙閣,建華街18-26號,屋苑,36,92,-,-
金堡大廈,炮台山道5-13號,屋苑,46,96,-,-
康怡花園,康愉街31-45號,屋苑,31~33,6651,49,$16163
南豐新?,基利坊15-27號,屋苑,40~41,2826,32,$15786
得利樓,英皇道993號,單幢物業,47,616,11,$10353
海景樓,英皇道1010-1026號,單幢物業,46,507,10,$10825
新威園,英皇道989-991A號,屋苑,44,828,10,-
康山花園,英皇道1110-1128號,屋苑,31,2180,9,$12625
康蕙花園,祐民街38號,屋苑,23,504,9,$15744
益發大廈,英皇道1048-1056號,單幢物業,46,679,8,$11111
柏蕙苑,基利路2-8號,屋苑,29,838,8,$16734
嘉榮大廈,海灣街4-6號,單幢物業,36,172,6,-
惠安苑,華蘭路2-12號,屋苑,43,624,6,$15057
太明樓,基利路9號,單幢物業,52,197,6,-
益昌大廈,英皇道1046號,單幢物業,46,420,6,$11214
康景花園,康柏徑10號,屋苑,29,983,6,-
華蘭花園,華蘭路5-11號,屋苑,33,652,6,$17861
逸樺園,基利路3號,屋苑,15,443,5,$21912
中興大廈,濱海街1-13A號,單幢物業,53,440,5,$11925
海山樓,英皇道1028號,單幢物業,46,432,5,$10271
惠利大廈,英皇道997號,單幢物業,51,430,5,$8982
金海大廈,濱海街15-53A號,單幢物業,54,176,5,$17241
太成樓,?魚涌街122號,單幢物業,58,160,4,$10526
福昌樓,英皇道1032-1044號,單幢物業,46,405,4,$10457
多寶樓 (多寶大廈),芬尼街2A號,屋苑,55,472,4,$14493
寶峰園,英皇道1090-1094號,屋苑,46,288,3,$14288
得發大廈,芬尼街11-17號,單幢物業,33,104,3,-
逸意居,西灣臺18號,屋苑,21,214,3,-
海光苑,海光街13-31號,屋苑,31,384,3,-
御皇臺,英皇道 933號,單幢物業,16,240,2,$18417
英麗閣,英皇道901-907號,屋苑,42,234,2,$15768
海傍新樓,糖廠街29-41號,屋苑,57,112,2,-
MOUNT PARKER RESIDENCES,西灣臺1號,單幢物業,5,92,2,-
海暉大廈,芬尼街22-46號,單幢物業,29,144,2,-
太隆樓,?魚涌街123號,單幢物業,58,147,2,-
寶利大廈,英皇道995號,單幢物業,51,196,2,-
太吉樓,基利路7號,單幢物業,52,189,2,$11088
太就樓,?魚涌街121號,單幢物業,58,155,2,$10795
英皇大樓,英皇道969-971號,單幢物業,52,222,2,-
太興樓,?魚涌街124號,單幢物業,58,159,1,-
龍景大廈,海堤街6-16號,單幢物業,41,190,1,-
濱海大廈,海灣街2號,單幢物業,30,200,1,$17647
漢威大廈,海光街11號,單幢物業,28,119,1,-
富景閣,英皇道885-891號,單幢物業,31,146,1,-
麗華樓,英皇道867-873號,單幢物業,56,104,1,-
海灣大廈,海灣街9-29號,單幢物業,56,89,1,-
華信花園,英皇道898號,單幢物業,27,280,1,-
瑞士樓,英皇道983-987A號,單幢物業,56,83,1,-
CASA 880,英皇道880-886號,單幢物業,10,114,-,-
