Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
東祥大廈,第二街1-11號,單幢物業,39,104,1,-
薈臻,桂香街1號,單幢物業,4,97,1,-
裕福大廈,爹核士街1-1A號,單幢物業,27,92,1,-
南里壹號,南里1號,單幢物業,2,92,1,-
福安大廈,北街23-25號,單幢物業,38,92,1,-
益豐花園,堅彌地城海旁20號,屋苑,25,235,1,-
龍暉花園,皇后大道西485號,屋苑,26,220,1,-
國基大廈,和合街6-12號,單幢物業,31,88,1,-
怡峰,加惠民道33號,單幢物業,12,89,1,-
永祥大廈,西邊街19-29號,單幢物業,31,90,1,-
雅福台,山市街3-5號,單幢物業,24,81,1,$18432
適安大廈,山道54-66號,單幢物業,53,79,1,$11844
堅城中心,堅彌地城海旁38號,單幢物業,24,272,1,-
高雅閣,高街9號,單幢物業,25,226,1,-
南海大廈,堅彌地城海旁46-47號,單幢物業,34,172,1,-
聯友新樓,卑路乍街102-114號,單幢物業,46,176,1,-
龍翔花園,堅彌地城海旁26號,單幢物業,24,128,1,-
慧華閣,士美非路12R號,單幢物業,23,112,1,-
楊華閣,高街46號,單幢物業,28,72,1,$17960
翠景閣,水街18號,單幢物業,27,72,1,-
碧華閣,德輔道西464-464D號,單幢物業,37,63,1,-
生昌大廈,皇后大道西427-437號,單幢物業,51,64,1,$13761
安達中心,皇后大道西311-325號,單幢物業,24,70,1,-
萬林閣,薄扶林道36-46號,單幢物業,38,69,1,-
美華大廈,士美非路36-42號,單幢物業,38,96,1,$14439
富基大廈,日富里7-13號,單幢物業,37,107,1,-
建益大樓,卑路乍街15-15C號,單幢物業,54,105,1,-
兆宜大廈,皇后大道西590-596A號,單幢物業,41,105,1,$13803
滿發大廈,厚和街6-18號,單幢物業,34,96,1,$17120
同興樓,卑路乍街41-55號,單幢物業,52,95,1,-
傲翔灣畔,域多利道86號,單幢物業,9,95,1,$25316
昌景閣,高街26-38號,單幢物業,33,84,1,-
大新閣,卑路乍街3-3A號,單幢物業,39,92,1,-
俊庭居,皇后大道西356號,單幢物業,19,88,1,-
得利大廈,皇后大道西270-280號,單幢物業,32,84,1,$17772
金寶閣,卑路乍街28號,單幢物業,30,84,1,$16940
樂信大廈,皇后大道西371-379號,單幢物業,36,51,1,-
恆隆銀行西區分行大廈,山道15號,單幢物業,36,51,1,-
豐逸大廈,第三街38-40號,單幢物業,30,66,1,-
順泰大廈,第一街129號,單幢物業,26,66,1,-
裕豐花園,正街51號,單幢物業,19,66,1,-
真善美大廈,皇后大道西428-440號,單幢物業,45,65,1,-
仁信大廈,第三街142-150號,單幢物業,28,60,1,-
源輝閣,西源里6-10號,單幢物業,33,56,1,-
僑成大樓,皇后大道西327-333號,單幢物業,51,56,1,$11364
萬發大樓,山市街20-28號,單幢物業,53,56,-,-
順昌大廈,厚和街20-34號,單幢物業,17,66,-,-
嘉利大廈,加倫臺8-16號,單幢物業,42,51,-,-
